timestamp,voltage,current
1667528426.0608823,5010,100
1667528426.2302835,5010,90
1667528426.3523304,5010,90
1667528426.4738622,5010,90
1667528426.594201,5010,90
1667528426.7178667,5010,100
1667528426.8430376,5010,90
1667528426.9879441,5010,90
1667528427.1122441,5010,100
1667528427.2528486,5010,100
1667528427.3770947,5010,90
1667528427.4986148,5010,90
1667528427.6224728,5010,100
1667528427.7453408,5010,100
1667528427.8923895,5010,90
1667528428.0362391,5010,90
1667528428.1569686,5010,100
1667528428.2788875,5010,90
1667528428.401323,5010,90
1667528428.523628,5010,90
1667528428.6463554,5010,90
1667528428.791299,5010,100
1667528428.9146345,5010,90
1667528429.0535212,5010,100
1667528429.1802757,5010,100
1667528429.3021908,5010,90
1667528429.42405,5010,90
1667528429.547617,5010,90
1667528429.6710966,5010,90
1667528429.8386514,5010,100
1667528429.9604158,5010,90
1667528430.08189,5010,100
1667528430.204327,5010,90
1667528430.326101,5010,90
1667528430.4491775,5010,90
1667528430.5971515,5010,90
1667528430.7205245,5010,90
1667528430.862541,5010,90
1667528430.9843826,5010,100
1667528431.1074665,5010,90
1667528431.2293265,5010,90
1667528431.3525171,5010,90
1667528431.475511,5010,90
1667528431.6435764,5010,90
1667528431.7654133,5010,100
1667528431.8873622,5010,90
1667528432.0097752,5010,90
1667528432.133995,5010,90
1667528432.2571936,5010,90
1667528432.4019916,5010,90
1667528432.525176,5010,90
1667528432.6670601,5010,90
1667528432.7889678,5010,90
1667528432.9113452,5010,100
1667528433.0344274,5010,90
1667528433.1565623,5010,90
1667528433.2801745,5010,90
1667528433.4501927,5010,90
1667528433.572605,5010,100
1667528433.694026,5010,90
1667528433.8161802,5010,90
1667528433.9398804,5010,100
1667528434.106511,5010,90
1667528434.2991698,5010,90
1667528434.4240706,9540,90
1667528434.5678825,9550,80
1667528434.690505,9520,80
1667528434.8333387,9530,80
1667528434.9606614,9530,80
1667528435.0854485,9530,80
1667528435.2576776,9540,80
1667528435.4467077,5030,90
1667528435.6162794,5010,100
1667528435.7383757,5010,90
1667528435.8610356,5010,90
1667528435.9837635,5010,100
1667528436.1062312,5010,90
1667528436.2735493,5010,90
1667528436.3983393,5010,90
1667528436.5200298,5010,90
1667528436.642087,5010,90
1667528436.7631934,5010,90
1667528436.8861282,5010,90
1667528437.0091393,5010,90
1667528437.153951,5010,90
1667528437.2773504,5010,90
1667528437.4202688,5010,90
1667528437.5427952,5010,90
1667528437.6651204,5010,90
1667528437.7875962,5010,90
1667528437.9116998,5010,90
1667528438.081071,5010,90
1667528438.2038417,5010,90
1667528438.3256488,5010,90
1667528438.4477572,5010,90
1667528438.5719962,5010,90
1667528438.695078,5010,90
1667528438.8640609,5010,90
1667528438.9859405,5010,90
1667528439.1099212,5010,90
1667528439.2331054,5010,100
1667528439.3801956,5010,90
1667528439.5263374,5010,90
1667528439.649389,5010,90
1667528439.7730792,5010,90
1667528439.896406,5010,90
